mvelX,mvelY,posX,posY,distance,i
500.024,3.0931,6.47065e+08,8.8439e+08,3.84348e+08,54
499.758,-23.6378,6.52066e+08,8.84286e+08,3.84003e+08,55
498.813,-49.8377,6.57066e+08,8.83919e+08,3.8278e+08,56
497.205,-75.5882,6.6205e+08,8.8329e+08,3.80701e+08,57
494.936,-101.045,6.67015e+08,8.82406e+08,3.77786e+08,58
491.995,-126.31,6.71951e+08,8.81269e+08,3.74051e+08,59
488.352,-151.538,6.76862e+08,8.79877e+08,3.69497e+08,60
483.974,-176.798,6.81728e+08,8.78235e+08,3.6414e+08,61
478.802,-202.223,6.86548e+08,8.76337e+08,3.57979e+08,62
472.768,-227.911,6.91308e+08,8.74185e+08,3.51017e+08,63
465.767,-254.019,6.96008e+08,8.71773e+08,3.43244e+08,64
457.685,-280.648,7.0063e+08,8.69098e+08,3.34661e+08,65
448.364,-307.941,7.05164e+08,8.66154e+08,3.25257e+08,66
437.601,-336.069,7.09596e+08,8.62934e+08,3.15017e+08,67
425.117,-365.243,7.13915e+08,8.59423e+08,3.0391e+08,68
410.571,-395.657,7.18101e+08,8.55614e+08,2.91924e+08,69
393.521,-427.517,7.22123e+08,8.51499e+08,2.79045e+08,70
373.308,-461.167,7.25964e+08,8.47053e+08,2.65222e+08,71
349.071,-496.914,7.29581e+08,8.42263e+08,2.50431e+08,72
319.502,-535.212,7.32933e+08,8.37099e+08,2.34605e+08,73
282.709,-576.503,7.35955e+08,8.31534e+08,2.17702e+08,74
235.686,-621.282,7.38563e+08,8.25534e+08,1.99656e+08,75
173.546,-669.83,7.40627e+08,8.19071e+08,1.80422e+08,76
87.4829,-721.774,7.41958e+08,8.12111e+08,1.59939e+08,77
-40.5824,-774.227,7.42239e+08,8.04614e+08,1.38053e+08,78
-253.678,-812.582,7.40868e+08,7.96648e+08,1.14573e+08,79
-598.489,-770.895,7.3666e+08,7.88604e+08,8.9165e+07,80
-984.688,-487.108,7.28723e+08,7.82e+08,6.84112e+07,81
-1088.94,272.359,7.1783e+08,7.80641e+08,6.49299e+07,82
